,Date,Name,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Discharged/Migrated,Deceased
626,2020-04-07,Mizoram,1,,0.0,0.0
627,2020-04-07,Odisha,42,,2.0,1.0
628,2020-04-07,Puducherry,5,,1.0,0.0
629,2020-04-07,Punjab,91,,4.0,7.0
630,2020-04-07,Rajasthan,288,,21.0,3.0
631,2020-04-07,Tamil Nadu,621,,8.0,5.0
632,2020-04-07,Telengana,364,,35.0,7.0
633,2020-04-07,Tripura,1,,0.0,0.0
634,2020-04-07,Uttarakhand,31,,5.0,0.0
635,2020-04-07,Uttar Pradesh,305,,21.0,3.0
636,2020-04-07,West Bengal,91,,13.0,3.0
637,2020-04-08,Andhra Pradesh,305,,5.0,4.0
638,2020-04-08,Andaman and Nicobar,10,,0.0,0.0
639,2020-04-08,Arunachal Pradesh,1,,0.0,0.0
640,2020-04-08,Assam,27,,0.0,0.0
641,2020-04-08,Bihar,38,,0.0,1.0
642,2020-04-08,Chandigarh,18,,7.0,0.0
643,2020-04-08,Chhattisgarh,10,,9.0,0.0
644,2020-04-08,NCT of Delhi,576,,21.0,9.0
645,2020-04-08,Goa,7,,0.0,0.0
646,2020-04-08,Gujarat,165,,25.0,13.0
647,2020-04-08,Haryana,147,,28.0,3.0
648,2020-04-08,Himachal Pradesh,18,,2.0,1.0
649,2020-04-08,Jammu and Kashmir,116,,4.0,2.0
650,2020-04-08,Jharkhand,4,,0.0,0.0
651,2020-04-08,Karnataka,175,,25.0,4.0
652,2020-04-08,Kerala,336,,70.0,2.0
653,2020-04-08,Ladakh,14,,10.0,0.0
654,2020-04-08,Madhya Pradesh,229,,0.0,13.0
655,2020-04-08,Maharashtra,1018,,79.0,64.0
656,2020-04-08,Manipur,2,,0.0,0.0
657,2020-04-08,Mizoram,1,,0.0,0.0
658,2020-04-08,Odisha,42,,2.0,1.0
659,2020-04-08,Puducherry,5,,1.0,0.0
660,2020-04-08,Punjab,91,,4.0,7.0
661,2020-04-08,Rajasthan,328,,21.0,3.0
662,2020-04-08,Tamil Nadu,690,,19.0,7.0
663,2020-04-08,Telengana,427,,35.0,7.0
664,2020-04-08,Tripura,1,,0.0,0.0
665,2020-04-08,Uttarakhand,31,,5.0,0.0
666,2020-04-08,Uttar Pradesh,343,,26.0,3.0
667,2020-04-08,West Bengal,99,,13.0,5.0
668,2020-04-09,Andhra Pradesh,348,,6.0,4.0
669,2020-04-09,Andaman and Nicobar,11,,0.0,0.0
670,2020-04-09,Arunachal Pradesh,1,,0.0,0.0
671,2020-04-09,Assam,28,,0.0,0.0
672,2020-04-09,Bihar,39,,0.0,1.0
673,2020-04-09,Chandigarh,18,,7.0,0.0
674,2020-04-09,Chhattisgarh,10,,9.0,0.0
675,2020-04-09,NCT of Delhi,669,,21.0,9.0
676,2020-04-09,Goa,7,,0.0,0.0
677,2020-04-09,Gujarat,179,,25.0,16.0
678,2020-04-09,Haryana,169,,29.0,3.0
679,2020-04-09,Himachal Pradesh,18,,2.0,1.0
680,2020-04-09,Jammu and Kashmir,158,,4.0,4.0
681,2020-04-09,Jharkhand,13,,0.0,0.0
682,2020-04-09,Karnataka,181,,28.0,5.0
683,2020-04-09,Kerala,345,,83.0,2.0
684,2020-04-09,Ladakh,14,,10.0,0.0
685,2020-04-09,Madhya Pradesh,259,,0.0,16.0
686,2020-04-09,Maharashtra,1135,,117.0,72.0
687,2020-04-09,Manipur,2,,1.0,0.0
688,2020-04-09,Mizoram,1,,0.0,0.0
689,2020-04-09,Odisha,42,,2.0,1.0
690,2020-04-09,Puducherry,5,,1.0,0.0
691,2020-04-09,Punjab,101,,4.0,8.0
692,2020-04-09,Rajasthan,383,,21.0,3.0
693,2020-04-09,Tamil Nadu,738,,21.0,8.0
694,2020-04-09,Telengana,442,,35.0,7.0
695,2020-04-09,Tripura,1,,0.0,0.0
696,2020-04-09,Uttarakhand,35,,5.0,0.0
697,2020-04-09,Uttar Pradesh,410,,31.0,4.0
698,2020-04-09,West Bengal,103,,16.0,5.0
699,2020-04-10,Andhra Pradesh,363,,7.0,6.0
700,2020-04-10,Andaman and Nicobar,11,,0.0,0.0
701,2020-04-10,Arunachal Pradesh,1,,0.0,0.0
702,2020-04-10,Assam,29,,0.0,0.0
703,2020-04-10,Bihar,60,,0.0,1.0
704,2020-04-10,Chandigarh,18,,7.0,0.0
705,2020-04-10,Chhattisgarh,10,,9.0,0.0
706,2020-04-10,NCT of Delhi,898,,25.0,13.0
707,2020-04-10,Goa,7,,1.0,0.0
708,2020-04-10,Gujarat,241,,26.0,17.0
709,2020-04-10,Haryana,169,,29.0,3.0
710,2020-04-10,Himachal Pradesh,28,,6.0,1.0
711,2020-04-10,Jammu and Kashmir,184,,6.0,4.0
712,2020-04-10,Jharkhand,13,,0.0,1.0
713,2020-04-10,Karnataka,197,,30.0,6.0
714,2020-04-10,Kerala,357,,96.0,2.0
715,2020-04-10,Ladakh,15,,10.0,0.0
716,2020-04-10,Madhya Pradesh,259,,0.0,16.0
717,2020-04-10,Maharashtra,1364,,125.0,97.0
718,2020-04-10,Manipur,2,,1.0,0.0
719,2020-04-10,Mizoram,1,,0.0,0.0
720,2020-04-10,Odisha,44,,2.0,1.0
721,2020-04-10,Puducherry,5,,1.0,0.0
722,2020-04-10,Punjab,132,,5.0,11.0
723,2020-04-10,Rajasthan,463,,21.0,3.0
724,2020-04-10,Tamil Nadu,834,,21.0,8.0
725,2020-04-10,Telengana,473,,35.0,7.0
726,2020-04-10,Tripura,1,,0.0,0.0
727,2020-04-10,Uttarakhand,35,,5.0,0.0
728,2020-04-10,Uttar Pradesh,431,,32.0,4.0
729,2020-04-10,West Bengal,116,,16.0,5.0
730,2020-04-11,Andhra Pradesh,381,,11.0,6.0
731,2020-04-11,Andaman and Nicobar,11,,0.0,0.0
732,2020-04-11,Arunachal Pradesh,1,,0.0,0.0
733,2020-04-11,Assam,29,,0.0,1.0
734,2020-04-11,Bihar,60,,0.0,1.0
735,2020-04-11,Chandigarh,18,,7.0,0.0
736,2020-04-11,Chhattisgarh,18,,9.0,0.0
737,2020-04-11,NCT of Delhi,903,,25.0,14.0
738,2020-04-11,Goa,7,,1.0,0.0
739,2020-04-11,Gujarat,308,,31.0,19.0
740,2020-04-11,Haryana,177,,29.0,3.0
741,2020-04-11,Himachal Pradesh,28,,6.0,1.0
742,2020-04-11,Jammu and Kashmir,207,,6.0,4.0
743,2020-04-11,Jharkhand,17,,0.0,1.0
744,2020-04-11,Karnataka,214,,37.0,6.0
745,2020-04-11,Kerala,364,,123.0,2.0
746,2020-04-11,Ladakh,15,,10.0,0.0
747,2020-04-11,Madhya Pradesh,443,,0.0,33.0
748,2020-04-11,Maharashtra,1574,,188.0,110.0
749,2020-04-11,Manipur,2,,1.0,0.0
750,2020-04-11,Mizoram,1,,0.0,0.0
751,2020-04-11,Odisha,48,,2.0,1.0
752,2020-04-11,Puducherry,7,,1.0,0.0
753,2020-04-11,Punjab,132,,5.0,11.0
754,2020-04-11,Rajasthan,553,,21.0,3.0
755,2020-04-11,Tamil Nadu,911,,44.0,8.0
756,2020-04-11,Telengana,504,,43.0,9.0
757,2020-04-11,Tripura,2,,0.0,0.0
758,2020-04-11,Uttarakhand,35,,5.0,0.0
759,2020-04-11,Uttar Pradesh,433,,32.0,4.0
760,2020-04-11,West Bengal,126,,16.0,5.0
761,2020-04-12,Andhra Pradesh,381,,11.0,6.0
762,2020-04-12,Andaman and Nicobar,11,,10.0,0.0
763,2020-04-12,Arunachal Pradesh,1,,0.0,0.0
764,2020-04-12,Assam,29,,0.0,1.0
765,2020-04-12,Bihar,64,,19.0,1.0
766,2020-04-12,Chandigarh,19,,7.0,0.0
767,2020-04-12,Chhattisgarh,25,,10.0,0.0
768,2020-04-12,NCT of Delhi,1069,,25.0,19.0
769,2020-04-12,Goa,7,,5.0,0.0
770,2020-04-12,Gujarat,432,,44.0,22.0
771,2020-04-12,Haryana,185,,29.0,3.0
772,2020-04-12,Himachal Pradesh,32,,6.0,1.0
773,2020-04-12,Jammu and Kashmir,224,,6.0,4.0
774,2020-04-12,Jharkhand,17,,0.0,1.0
775,2020-04-12,Karnataka,226,,37.0,6.0
776,2020-04-12,Kerala,374,,142.0,2.0
777,2020-04-12,Ladakh,15,,10.0,0.0
778,2020-04-12,Madhya Pradesh,564,,0.0,36.0
779,2020-04-12,Maharashtra,1761,,208.0,127.0
780,2020-04-12,Manipur,2,,1.0,0.0
781,2020-04-12,Mizoram,1,,0.0,0.0
782,2020-04-12,Odisha,54,,12.0,1.0
783,2020-04-12,Puducherry,7,,1.0,0.0
784,2020-04-12,Punjab,151,,5.0,11.0
785,2020-04-12,Rajasthan,700,,21.0,3.0
786,2020-04-12,Tamil Nadu,969,,44.0,10.0
787,2020-04-12,Telengana,504,,43.0,9.0
788,2020-04-12,Tripura,2,,0.0,0.0
789,2020-04-12,Uttarakhand,35,,5.0,0.0
790,2020-04-12,Uttar Pradesh,452,,45.0,5.0
791,2020-04-12,West Bengal,134,,19.0,5.0
792,2020-04-13,Andhra Pradesh,432,,11.0,7.0
793,2020-04-13,Andaman and Nicobar,11,,10.0,0.0
794,2020-04-13,Arunachal Pradesh,1,,0.0,0.0
795,2020-04-13,Assam,31,,0.0,1.0
796,2020-04-13,Bihar,64,,26.0,1.0
797,2020-04-13,Chandigarh,21,,7.0,0.0
798,2020-04-13,Chhattisgarh,31,,10.0,0.0
799,2020-04-13,NCT of Delhi,1154,,27.0,24.0
800,2020-04-13,Goa,7,,5.0,0.0
801,2020-04-13,Gujarat,539,,47.0,26.0
802,2020-04-13,Haryana,185,,29.0,3.0
803,2020-04-13,Himachal Pradesh,32,,13.0,1.0
804,2020-04-13,Jammu and Kashmir,245,,6.0,4.0
805,2020-04-13,Jharkhand,19,,0.0,2.0
806,2020-04-13,Karnataka,247,,59.0,6.0
807,2020-04-13,Kerala,376,,179.0,3.0
808,2020-04-13,Ladakh,15,,10.0,0.0
809,2020-04-13,Madhya Pradesh,604,,44.0,43.0
810,2020-04-13,Maharashtra,1985,,217.0,149.0
811,2020-04-13,Manipur,2,,1.0,0.0
812,2020-04-13,Mizoram,1,,0.0,0.0
813,2020-04-13,Nagaland,1,,0.0,0.0
814,2020-04-13,Odisha,54,,12.0,1.0
815,2020-04-13,Puducherry,7,,1.0,0.0
816,2020-04-13,Punjab,167,,14.0,11.0
817,2020-04-13,Rajasthan,812,,21.0,3.0
818,2020-04-13,Tamil Nadu,1075,,50.0,11.0
819,2020-04-13,Telengana,562,,100.0,16.0
820,2020-04-13,Tripura,2,,0.0,0.0
821,2020-04-13,Uttarakhand,35,,5.0,0.0
822,2020-04-13,Uttar Pradesh,483,,47.0,5.0
823,2020-04-13,West Bengal,152,,29.0,7.0
824,2020-04-14,Andhra Pradesh,473,,14.0,9.0
825,2020-04-14,Andaman and Nicobar,11,,10.0,0.0
826,2020-04-14,Arunachal Pradesh,1,,0.0,0.0
827,2020-04-14,Assam,31,,0.0,1.0
828,2020-04-14,Bihar,66,,26.0,1.0
829,2020-04-14,Chandigarh,21,,7.0,0.0
830,2020-04-14,Chhattisgarh,31,,10.0,0.0
831,2020-04-14,NCT of Delhi,1510,,30.0,28.0
832,2020-04-14,Goa,7,,5.0,0.0
833,2020-04-14,Gujarat,617,,55.0,26.0
834,2020-04-14,Haryana,199,,34.0,3.0
835,2020-04-14,Himachal Pradesh,32,,13.0,1.0
836,2020-04-14,Jammu and Kashmir,270,,16.0,4.0
837,2020-04-14,Jharkhand,24,,0.0,2.0
838,2020-04-14,Karnataka,258,,65.0,9.0
839,2020-04-14,Kerala,379,,198.0,3.0
840,2020-04-14,Ladakh,15,,10.0,0.0
841,2020-04-14,Madhya Pradesh,730,,51.0,50.0
842,2020-04-14,Maharashtra,2337,,229.0,160.0
843,2020-04-14,Manipur,2,,1.0,0.0
844,2020-04-14,Meghalaya,1,,0.0,0.0
845,2020-04-14,Mizoram,1,,0.0,0.0
846,2020-04-14,Nagaland,1,,0.0,0.0
847,2020-04-14,Odisha,55,,18.0,1.0
848,2020-04-14,Puducherry,7,,1.0,0.0
849,2020-04-14,Punjab,176,,14.0,12.0
850,2020-04-14,Rajasthan,879,,133.0,3.0
851,2020-04-14,Tamil Nadu,1173,,58.0,11.0
852,2020-04-14,Telengana,624,,100.0,17.0
853,2020-04-14,Tripura,2,,0.0,0.0
854,2020-04-14,Uttarakhand,35,,7.0,0.0
855,2020-04-14,Uttar Pradesh,657,,49.0,5.0
856,2020-04-14,West Bengal,190,,36.0,7.0
857,2020-04-15,Andaman and Nicobar,11,,10.0,0.0
858,2020-04-15,Andhra Pradesh,503,,16.0,9.0
859,2020-04-15,Arunachal Pradesh,1,,0.0,0.0
860,2020-04-15,Assam,33,,0.0,1.0
861,2020-04-15,Bihar,70,,29.0,1.0
862,2020-04-15,Chandigarh,21,,7.0,0.0
863,2020-04-15,Chhattisgarh,33,,13.0,0.0
864,2020-04-15,NCT of Delhi,1561,,30.0,30.0
865,2020-04-15,Goa,7,,5.0,0.0
866,2020-04-15,Gujarat,695,,59.0,30.0
867,2020-04-15,Haryana,199,,34.0,3.0
868,2020-04-15,Himachal Pradesh,33,,13.0,1.0
869,2020-04-15,Jammu and Kashmir,278,,30.0,4.0
870,2020-04-15,Jharkhand,27,,0.0,2.0
871,2020-04-15,Karnataka,277,,75.0,11.0
872,2020-04-15,Kerala,387,,211.0,3.0
873,2020-04-15,Ladakh,17,,10.0,0.0
874,2020-04-15,Madhya Pradesh,987,,64.0,53.0
875,2020-04-15,Maharashtra,2687,,259.0,178.0
876,2020-04-15,Manipur,2,,1.0,0.0
877,2020-04-15,Meghalaya,7,,0.0,1.0
878,2020-04-15,Mizoram,1,,0.0,0.0
879,2020-04-15,Nagaland,0,,0.0,0.0
880,2020-04-15,Odisha,60,,18.0,1.0
881,2020-04-15,Puducherry,7,,1.0,0.0
882,2020-04-15,Punjab,186,,14.0,13.0
883,2020-04-15,Rajasthan,1005,,147.0,3.0
884,2020-04-15,Tamil Nadu,1204,,81.0,12.0
885,2020-04-15,Telengana,647,,120.0,18.0
886,2020-04-15,Tripura,2,,0.0,0.0
887,2020-04-15,Uttarakhand,37,,9.0,0.0
888,2020-04-15,Uttar Pradesh,735,,51.0,11.0
889,2020-04-15,West Bengal,213,,37.0,7.0
